qa_section,jurisdiction_id,year,category_family,metric,value,flag,notes
year_coverage,tps,2015,assault,row_count,18184,,
year_coverage,tps,2015,auto_vehicle_theft,row_count,3433,,
year_coverage,tps,2015,break_and_enter,row_count,6938,,
year_coverage,tps,2015,other,row_count,1044,,
year_coverage,tps,2015,robbery,row_count,3534,,
year_coverage,tps,2015,theft_from_vehicle,row_count,8801,,
year_coverage,tps,2016,assault,row_count,19106,,
year_coverage,tps,2016,auto_vehicle_theft,row_count,3477,,
year_coverage,tps,2016,break_and_enter,row_count,6425,,
year_coverage,tps,2016,other,row_count,1046,,
year_coverage,tps,2016,robbery,row_count,3777,,
year_coverage,tps,2016,theft_from_vehicle,row_count,7749,,
year_coverage,tps,2017,assault,row_count,19731,,
year_coverage,tps,2017,auto_vehicle_theft,row_count,3772,,
year_coverage,tps,2017,break_and_enter,row_count,6932,,
year_coverage,tps,2017,other,row_count,1189,,
year_coverage,tps,2017,robbery,row_count,4097,,
year_coverage,tps,2017,theft_from_vehicle,row_count,8438,,
year_coverage,tps,2018,assault,row_count,20112,,
year_coverage,tps,2018,auto_vehicle_theft,row_count,4905,,
year_coverage,tps,2018,break_and_enter,row_count,7654,,
year_coverage,tps,2018,other,row_count,1290,,
year_coverage,tps,2018,robbery,row_count,3758,,
year_coverage,tps,2018,theft_from_vehicle,row_count,9131,,
year_coverage,tps,2019,assault,row_count,21160,,
year_coverage,tps,2019,auto_vehicle_theft,row_count,5396,,
year_coverage,tps,2019,break_and_enter,row_count,8573,,
year_coverage,tps,2019,other,row_count,1375,,
year_coverage,tps,2019,robbery,row_count,3724,,
year_coverage,tps,2019,theft_from_vehicle,row_count,9950,,
year_coverage,tps,2020,assault,row_count,18530,,
year_coverage,tps,2020,auto_vehicle_theft,row_count,5901,,
year_coverage,tps,2020,break_and_enter,row_count,6964,,
year_coverage,tps,2020,other,row_count,1213,,
year_coverage,tps,2020,robbery,row_count,2864,,
year_coverage,tps,2020,theft_from_vehicle,row_count,10276,,
year_coverage,tps,2021,assault,row_count,19257,,
year_coverage,tps,2021,auto_vehicle_theft,row_count,6705,,
year_coverage,tps,2021,break_and_enter,row_count,5725,,
year_coverage,tps,2021,other,row_count,1091,,
year_coverage,tps,2021,robbery,row_count,2285,,
year_coverage,tps,2021,theft_from_vehicle,row_count,8224,,
year_coverage,tps,2022,assault,row_count,21515,,
year_coverage,tps,2022,auto_vehicle_theft,row_count,9963,,
year_coverage,tps,2022,break_and_enter,row_count,6089,,
year_coverage,tps,2022,other,row_count,1459,,
year_coverage,tps,2022,robbery,row_count,2931,,
year_coverage,tps,2022,theft_from_vehicle,row_count,9396,,
year_coverage,tps,2023,assault,row_count,24470,,
year_coverage,tps,2023,auto_vehicle_theft,row_count,12573,,
year_coverage,tps,2023,break_and_enter,row_count,7645,,
year_coverage,tps,2023,other,row_count,1745,,
year_coverage,tps,2023,robbery,row_count,3139,,
year_coverage,tps,2023,theft_from_vehicle,row_count,8676,,
year_coverage,tps,2024,assault,row_count,25111,,
year_coverage,tps,2024,auto_vehicle_theft,row_count,9660,,
year_coverage,tps,2024,break_and_enter,row_count,6852,,
year_coverage,tps,2024,other,row_count,1882,,
year_coverage,tps,2024,robbery,row_count,3176,,
year_coverage,tps,2024,theft_from_vehicle,row_count,7675,,
year_coverage,tps,2025,assault,row_count,23746,,
year_coverage,tps,2025,auto_vehicle_theft,row_count,7331,,
year_coverage,tps,2025,break_and_enter,row_count,6092,,
year_coverage,tps,2025,other,row_count,1899,,
year_coverage,tps,2025,robbery,row_count,2555,,
year_coverage,tps,2025,theft_from_vehicle,row_count,6754,,
year_coverage,tps,2026,assault,row_count,5160,,
year_coverage,tps,2026,auto_vehicle_theft,row_count,1818,,
year_coverage,tps,2026,break_and_enter,row_count,1486,,
year_coverage,tps,2026,other,row_count,403,,
year_coverage,tps,2026,robbery,row_count,604,,
year_coverage,tps,2026,theft_from_vehicle,row_count,1538,,
year_coverage,yrp,2025,arson,row_count,103,,
year_coverage,yrp,2025,assault,row_count,6119,,
year_coverage,yrp,2025,drugs,row_count,1146,,
year_coverage,yrp,2025,fraud,row_count,7127,,
year_coverage,yrp,2025,homicide,row_count,38,,
year_coverage,yrp,2025,other,row_count,30858,,
year_coverage,yrp,2025,robbery,row_count,477,,
year_coverage,yrp,2025,sexual_assault,row_count,521,,
year_coverage,yrp,2025,shooting_firearm,row_count,291,,
year_coverage,yrp,2026,arson,row_count,51,,
year_coverage,yrp,2026,assault,row_count,2919,,
year_coverage,yrp,2026,drugs,row_count,662,,
year_coverage,yrp,2026,fraud,row_count,2652,,
year_coverage,yrp,2026,homicide,row_count,15,,
year_coverage,yrp,2026,other,row_count,13662,,
year_coverage,yrp,2026,robbery,row_count,183,,
year_coverage,yrp,2026,sexual_assault,row_count,212,,
year_coverage,yrp,2026,shooting_firearm,row_count,117,,
year_summary,durham-drps,2008-2026,,year_span,15,ok,
year_summary,halton-hrps,2025-2026,,year_span,2,short_window,2025+ public layer only
year_summary,hamilton-hps,2021-2026,,year_span,6,short_window,2021+ HPS-only cleaned subset
year_summary,peel-prp,2023-2026,,year_span,4,short_window,2023+ public window (catalog verified)
year_summary,tps,2000-2026,,year_span,27,ok,
year_summary,yrp,2025-2026,,year_span,2,short_window,2025+ public window (catalog verified)
category_family,durham-drps,,assault,row_count,3103,,
category_family,durham-drps,,other,row_count,1827,needs_taxonomy_cleanup,
category_family,durham-drps,,theft_from_vehicle,row_count,1397,,
category_family,durham-drps,,auto_vehicle_theft,row_count,1164,,
category_family,durham-drps,,robbery,row_count,267,,
category_family,durham-drps,,shooting_firearm,row_count,48,,
category_family,durham-drps,,homicide,row_count,13,,
category_family,halton-hrps,,other,row_count,20049,needs_taxonomy_cleanup,
category_family,halton-hrps,,robbery,row_count,155,,
category_family,halton-hrps,,arson,row_count,48,,
category_family,hamilton-hps,,other,row_count,14530,needs_taxonomy_cleanup,
category_family,hamilton-hps,,auto_vehicle_theft,row_count,6281,,
category_family,hamilton-hps,,robbery,row_count,523,,
category_family,hamilton-hps,,homicide,row_count,33,,
category_family,peel-prp,,assault,row_count,21250,,
category_family,peel-prp,,auto_vehicle_theft,row_count,17728,,
category_family,peel-prp,,fraud,row_count,14937,,
category_family,peel-prp,,other,row_count,13948,needs_taxonomy_cleanup,
category_family,peel-prp,,break_and_enter,row_count,7666,,
category_family,peel-prp,,drugs,row_count,3045,,
category_family,peel-prp,,robbery,row_count,2512,,
category_family,peel-prp,,theft_from_vehicle,row_count,1257,,
category_family,peel-prp,,homicide,row_count,58,,
category_family,tps,,assault,row_count,254378,,
category_family,tps,,theft_from_vehicle,row_count,106574,,
category_family,tps,,break_and_enter,row_count,84689,,
category_family,tps,,auto_vehicle_theft,row_count,78714,,
category_family,tps,,robbery,row_count,40248,,
category_family,tps,,other,row_count,16790,needs_taxonomy_cleanup,
category_family,yrp,,other,row_count,44520,needs_taxonomy_cleanup,
category_family,yrp,,fraud,row_count,9779,,
category_family,yrp,,assault,row_count,9038,,
category_family,yrp,,drugs,row_count,1808,,
category_family,yrp,,sexual_assault,row_count,733,,
