category_family,category_canonical,source_jurisdiction,source_label,source_count,coverage_matrix_status,publish_tier,mapping_confidence,notes
major_crime_indicators,Aggravated Assault,tps,Aggravated Assault,3320,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Robbery - Swarming,tps,Robbery - Swarming,2872,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Unlawfully In Dwelling-House,tps,Unlawfully In Dwelling-House,2848,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Discharge Firearm With Intent,tps,Discharge Firearm With Intent,2816,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Discharge Firearm - Recklessly,tps,Discharge Firearm - Recklessly,1990,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Robbery - Vehicle Jacking,tps,Robbery - Vehicle Jacking,1798,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Robbery - Home Invasion,tps,Robbery - Home Invasion,1765,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Theft From Mail / Bag / Key,tps,Theft From Mail / Bag / Key,1725,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Pointing A Firearm,tps,Pointing A Firearm,1704,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Robbery - Purse Snatch,tps,Robbery - Purse Snatch,1265,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
major_crime_indicators,Robbery - Financial Institute,tps,Robbery - Financial Institute,1090,catalog_known_categories_json,v1_deferred,high,cat-0037 tps_major_crime_combined
robbery,Robbery - Mugging,tps,Robbery - Mugging,9848,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
robbery,Robbery With Weapon,tps,Robbery With Weapon,7906,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
robbery,Robbery - Other,tps,Robbery - Other,6816,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
robbery,Robbery - Business,tps,Robbery - Business,6084,catalog_known_categories_json,v1_published,high,cat-0061 tps_major_crime_v1
