taxonomy_version,category_family,category_canonical,source_jurisdiction,source_label,source_count,coverage_matrix_status,publish_tier,mapping_confidence,notes
v2_draft,auto_vehicle_theft,Theft  - Motorcycle,hamilton-hps,Theft  - Motorcycle,150,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
v2_draft,robbery,Robbery,hamilton-hps,Robbery,145,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
v2_draft,theft_from_vehicle,theft from motor vehicle,hamilton-hps,Theft Over $5000 - FROM Motor Vehicle - Damage,110,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw; step6c_patch_applied
v2_draft,robbery,Robbery - Home Invasion,hamilton-hps,Robbery - Home Invasion,104,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
v2_draft,homicide,Murder 2nd Degree,hamilton-hps,Murder 2nd Degree,20,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
v2_draft,homicide,Murder 1st Degree,hamilton-hps,Murder 1st Degree,13,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
v2_draft,robbery,Robbery - Delivery Person,hamilton-hps,Robbery - Delivery Person,5,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
v2_draft,other,11-95,hamilton-hps,11-95,1,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
v2_draft,mischief_property_damage,Destruct/Damage/Vandalize Prop,hamilton-hps,Destruct/Damage/Vandalize Prop,1,catalog_known_categories_json,v1_deferred,high,cat-0107 hamilton_communitycrimemap_raw
v2_draft,theft_from_vehicle,theft from motor vehicle,hamilton-hps,Theft Under or equal to $5000 - FROM Motor Vehicle - NO Damage,5267,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only; step6c_patch_applied
v2_draft,auto_vehicle_theft,Theft - Truck,hamilton-hps,Theft - Truck,3781,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
v2_draft,break_and_enter,break and enter,hamilton-hps,Break and Enter - Business,3161,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only; step6c_patch_applied
v2_draft,break_and_enter,break and enter,hamilton-hps,Break and Enter - Residence,2575,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only; step6c_patch_applied
v2_draft,auto_vehicle_theft,Theft - Automobile,hamilton-hps,Theft - Automobile,2350,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
v2_draft,theft_from_vehicle,theft from motor vehicle,hamilton-hps,Theft Under or equal to $5000 - FROM Motor Vehicle - Damage,2283,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only; step6c_patch_applied
v2_draft,break_and_enter,break and enter,hamilton-hps,Break and Enter - Other,969,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only; step6c_patch_applied
v2_draft,robbery,Robbery - Business,hamilton-hps,Robbery - Business,269,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
v2_draft,theft_from_vehicle,theft from motor vehicle,hamilton-hps,Theft Over $5000 - FROM Motor Vehicle - NO Damage,165,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only; step6c_patch_applied
v2_draft,auto_vehicle_theft,Theft  - Motorcycle,hamilton-hps,Theft  - Motorcycle,150,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
v2_draft,robbery,Robbery,hamilton-hps,Robbery,145,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
v2_draft,theft_from_vehicle,theft from motor vehicle,hamilton-hps,Theft Over $5000 - FROM Motor Vehicle - Damage,110,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only; step6c_patch_applied
v2_draft,robbery,Robbery - Home Invasion,hamilton-hps,Robbery - Home Invasion,104,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
v2_draft,homicide,Murder 2nd Degree,hamilton-hps,Murder 2nd Degree,20,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
v2_draft,homicide,Murder 1st Degree,hamilton-hps,Murder 1st Degree,13,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
v2_draft,robbery,Robbery - Delivery Person,hamilton-hps,Robbery - Delivery Person,5,catalog_known_categories_json,v1_deferred,high,cat-0108 hamilton_communitycrimemap_hps_only
v2_draft,mischief_property_damage,Mischief Over - Property,peel-prp,Mischief Over - Property,9782,step6c_patch,v2_draft,medium,step6c_patch_applied; new row
v2_draft,theft_other,Theft Under $5000 - Shoplifting,yrp,Theft Under $5000 - Shoplifting,8439,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Mischief To Property,yrp,Mischief To Property,4975,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,theft_other,Theft Under $5000- Other,yrp,Theft Under $5000- Other,4921,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Mischief Under - Property,peel-prp,Mischief Under - Property,3743,step6c_patch,v2_draft,medium,step6c_patch_applied; new row
v2_draft,other_criminal_code,other persons crime,yrp,Utter Threats To Person,3339,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,other_criminal_code,other property crime,yrp,Possession Under - Property Obtained By Crime,2992,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,auto_vehicle_theft,Theft Over $5000 - Vehicle,yrp,Theft Over $5000 - Vehicle,2547,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,theft_other,Theft Under $5000 - From Motor Vehicle,yrp,Theft Under $5000 - From Motor Vehicle,1953,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,impaired_driving,Impaired Alcohol / Over 80 Mgs,yrp,Impaired Alcohol / Over 80 Mgs,1412,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other_criminal_code,other persons crime,yrp,Criminal Harassment,1187,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,other_criminal_code,other persons crime,yrp,Harassing / Indecent Communications,1153,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,missing_person,missing person,yrp,Missing Person-Adult,935,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,theft_other,Theft Over $5000 - Other,yrp,Theft Over $5000 - Other,784,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,missing_person,missing person,yrp,Missing Person-Youth,665,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,weapons,weapons violations,yrp,Weapons Possession Of Other,473,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other_criminal_code,other property crime,yrp,Trafficking Stolen Goods Over $5000,470,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,other_criminal_code,other property crime,yrp,Possession Over - Property Obtained By Crime,405,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,theft_other,Theft Under $5000 - Bicycle,yrp,Theft Under $5000 - Bicycle,398,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other_criminal_code,other persons crime,yrp,Extortion,391,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Disguise With Intent,349,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,other,provincial offences,yrp,Trespass To Property Act,338,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Utter Threats to Property / Animals,299,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Mischief/(Non-Physical) Property,peel-prp,Mischief/(Non-Physical) Property,292,step6c_patch,v2_draft,medium,step6c_patch_applied; new row
v2_draft,auto_vehicle_theft,Theft Over $5000 - From Motor Vehicle,yrp,Theft Over $5000 - From Motor Vehicle,212,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other,provincial offences,yrp,Liquor - Other Offences,190,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Public Mischief,yrp,Public Mischief,185,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Mischief - Obstruct / Interrupts / Interferes,yrp,Mischief - Obstruct / Interrupts / Interferes,161,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other,provincial offences,yrp,Liquor - Intoxicated,158,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Mischief To Property - Graffiti,yrp,Mischief To Property - Graffiti,153,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,theft_other,Theft Over $5000 - Shoplifting,yrp,Theft Over $5000 - Shoplifting,106,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Possession of Break and Enter Instruments,101,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Trespass By Night,96,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Mischief - Religious Property - Hate,yrp,Mischief - Religious Property - Hate,91,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,auto_vehicle_theft,Theft Over $5000 - Take Vehicle Without Consent,yrp,Theft Over $5000 - Take Vehicle Without Consent,91,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,assault,assault,yrp,Assaults - Other,81,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Proceeds Of Crime,77,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,theft_other,Theft Under $5000 - Vehicle,yrp,Theft Under $5000 - Vehicle,70,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Cybercrime - Mischief to Data/Ransomware/Malware - Denial of Service/Webpage Defacement,peel-prp,Cybercrime - Mischief to Data/Ransomware/Malware - Denial of Service/Webpage Defacement,65,step6c_patch,v2_draft,medium,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Firearms / Other Offensive Weapons,58,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,weapons,weapons violations,yrp,Weapons - Possession Contrary To Order,44,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,weapons,weapons violations,yrp,Weapons - Unsafe Storage,44,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Personate Peace Officer,37,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Mischief - Conceal / Corrupt Data,yrp,Mischief - Conceal / Corrupt Data,25,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Escape Custody,19,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Mischief To Property - Election Sign,yrp,Mischief To Property - Election Sign,17,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,weapons,weapons violations,yrp,Weapons - Trafficking,14,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,break_and_enter,break and enter,yrp,Break and Enter  - Schools,11,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other_criminal_code,other property crime,yrp,Trafficking Stolen Goods Under $5000,11,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,impaired_driving,Operation While Impaired Unspecified,yrp,Operation While Impaired Unspecified,10,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Other Gaming / Betting - Other,9,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Hate Motivated Mischief Relating to Property Used By Identifiable Group,peel-prp,Hate Motivated Mischief Relating to Property Used By Identifiable Group,8,step6c_patch,v2_draft,medium,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Mischief - Wilfully Act / Wilfully Omits To Act,yrp,Mischief - Wilfully Act / Wilfully Omits To Act,8,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,theft_other,Theft Over $5000 - Bicycle,yrp,Theft Over $5000 - Bicycle,8,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Gaming House - Keeper,7,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,assault,assault,yrp,Criminal Negligence Cause Bodily Harm,5,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Gaming House - Found In,5,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Prisoner Unlawfully At Large,4,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,weapons,weapons violations,yrp,Weapons - Firearms Documents / Admininstation,4,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,theft_other,Theft Under $5000 - Take Vehicle Without Consent,yrp,Theft Under $5000 - Take Vehicle Without Consent,3,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,theft_other,Theft Under $5000- Election Sign,yrp,Theft Under $5000- Election Sign,3,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,weapons,weapons violations,yrp,Weapons -Import / Export,3,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,mischief_property_damage,Mischief in relation to cultural property,peel-prp,Mischief in relation to cultural property,2,step6c_patch,v2_draft,medium,step6c_patch_applied; new row
v2_draft,impaired_driving,Impaired Alcohol Cause Bodily Harm / Over 80,yrp,Impaired Alcohol Cause Bodily Harm / Over 80,2,step6c_patch,v2_draft,high,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Incite Hatred,2,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,other_criminal_code,other criminal code,yrp,Other Gaming / Betting - Lotteries,1,step6c_patch,v2_draft,low,step6c_patch_applied; new row
v2_draft,weapons,weapons violations,yrp,Weapons-Explosives Possession,1,step6c_patch,v2_draft,high,step6c_patch_applied; new row
