catalog_id,jurisdiction_id,dataset_group,source_class,bronze_table,canonical_column,source_column,transform_rule,silver_phase,notes
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,occ_date,OCC_DATE,parse to ISO date,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,report_date,REPORT_DATE,parse when present,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,lat,LAT_WGS84,REAL; invalid -> null,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,lng,LONG_WGS84,REAL; invalid -> null,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,offence_raw,OFFENCE,,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,offence_secondary,CSI_CATEGORY,,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,division,DIVISION,,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,municipality,,,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,neighbourhood_primary,HOOD_158,,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,neighbourhood_secondary,NEIGHBOURHOOD_158,,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,location_type,LOCATION_TYPE,,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,mappable,derived,1 when lat/lng valid and non-zero,phase1,
cat-0013,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__break_and_enter_open_data_91987683163494,source_fields_json,all_bronze_columns,json_object of non-provenance columns,phase1,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,source_record_id,OBJECTID,parse_iso_date; coords_non_zero_mappable; preserve_all_columns_json,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,occurrence_group_key,EVENT_UNIQUE_ID,preserve source duplicates,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,event_unique_id,EVENT_UNIQUE_ID,store only; never dedupe in silver,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,occ_date,OCC_DATE,parse to ISO date,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,report_date,REPORT_DATE,parse when present,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,lat,LAT_WGS84,REAL; invalid -> null,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,lng,LONG_WGS84,REAL; invalid -> null,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,offence_raw,OFFENCE,,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,offence_secondary,CSI_CATEGORY,,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,division,DIVISION,,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,municipality,,,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,neighbourhood_primary,HOOD_158,,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,neighbourhood_secondary,NEIGHBOURHOOD_158,,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,location_type,LOCATION_TYPE,,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,mappable,derived,1 when lat/lng valid and non-zero,deferred,
cat-0031,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__hate_crime_open_data_1768225117781365955,source_fields_json,all_bronze_columns,json_object of non-provenance columns,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,source_record_id,OBJECTID,parse_iso_date; coords_non_zero_mappable; preserve_all_columns_json,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,occurrence_group_key,EVENT_UNIQUE_ID,preserve source duplicates,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,event_unique_id,EVENT_UNIQUE_ID,store only; never dedupe in silver,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,occ_date,OCC_DATE,parse to ISO date,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,report_date,REPORT_DATE,parse when present,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,lat,LAT_WGS84,REAL; invalid -> null,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,lng,LONG_WGS84,REAL; invalid -> null,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,offence_raw,OFFENCE,,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,offence_secondary,CSI_CATEGORY,,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,division,DIVISION,,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,municipality,,,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,neighbourhood_primary,HOOD_158,,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,neighbourhood_secondary,NEIGHBOURHOOD_158,,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,location_type,LOCATION_TYPE,,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,mappable,derived,1 when lat/lng valid and non-zero,deferred,
cat-0032,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,source_fields_json,all_bronze_columns,json_object of non-provenance columns,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,source_record_id,OBJECTID,parse_iso_date; coords_non_zero_mappable; preserve_all_columns_json,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,occurrence_group_key,EVENT_UNIQUE_ID,preserve source duplicates,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,event_unique_id,EVENT_UNIQUE_ID,store only; never dedupe in silver,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,occ_date,OCC_DATE,parse to ISO date,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,report_date,REPORT_DATE,parse when present,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,lat,LAT_WGS84,REAL; invalid -> null,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,lng,LONG_WGS84,REAL; invalid -> null,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,offence_raw,OFFENCE,,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,offence_secondary,CSI_CATEGORY,,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,division,DIVISION,,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,municipality,,,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,neighbourhood_primary,HOOD_158,,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,neighbourhood_secondary,NEIGHBOURHOOD_158,,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,location_type,LOCATION_TYPE,,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,mappable,derived,1 when lat/lng valid and non-zero,deferred,
cat-0033,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__homicides_open_data_asr_rc_tbl_002_83690,source_fields_json,all_bronze_columns,json_object of non-provenance columns,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,source_record_id,OBJECTID,parse_iso_date; coords_non_zero_mappable; preserve_all_columns_json,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,occurrence_group_key,EVENT_UNIQUE_ID,preserve source duplicates,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,event_unique_id,EVENT_UNIQUE_ID,store only; never dedupe in silver,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,occ_date,OCC_DATE,parse to ISO date,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,report_date,REPORT_DATE,parse when present,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,lat,LAT_WGS84,REAL; invalid -> null,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,lng,LONG_WGS84,REAL; invalid -> null,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,offence_raw,OFFENCE,,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,offence_secondary,CSI_CATEGORY,,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,division,DIVISION,,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,municipality,,,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,neighbourhood_primary,HOOD_158,,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,neighbourhood_secondary,NEIGHBOURHOOD_158,,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,location_type,LOCATION_TYPE,,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,mappable,derived,1 when lat/lng valid and non-zero,deferred,
cat-0034,tps,tps_sensitive_incident,public_incident_records,bronze__tps__tps_sensitive_incident__intimate_partner_and_family_violence_ope,source_fields_json,all_bronze_columns,json_object of non-provenance columns,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,source_record_id,OBJECTID,parse_iso_date; coords_non_zero_mappable; preserve_all_columns_json,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,occurrence_group_key,EVENT_UNIQUE_ID,preserve source duplicates,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,event_unique_id,EVENT_UNIQUE_ID,store only; never dedupe in silver,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,occ_date,OCC_DATE,parse to ISO date,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,report_date,REPORT_DATE,parse when present,deferred,
cat-0037,tps,tps_major_crime_combined,public_incident_records,bronze__tps__tps_major_crime_combined__major_crime_indicators_open_data_csv,lat,LAT_WGS84,REAL; invalid -> null,deferred,
