catalog_id,jurisdiction_id,source_name,source_type,source_class,official_url,endpoint_url,local_root_path,source_file,load_file_path,main_csv_path,main_geojson_path,metadata_path,audit_paths,dataset_group,crime_category_raw,row_count,date_min,date_max,date_field_used,coordinate_fields,mappable_count,mappable_percent,primary_source_key,occurrence_grouping_key,geography_fields,offence_category_fields,known_categories_json,missing_categories,privacy_level,scope_type,ingestion_status,public_display_status,ingestion_readiness_status,notes,risks
cat-0091,yrp,YRP Municipal Boundaries,geojson,reference_geography,,https://services8.arcgis.com/lYI034SQcOoxRCR7/arcgis/rest/services/PoliceBoundaries/FeatureServer/0,data/raw/yrp/community-safety,yrp-municipalities.geojson,data/raw/yrp/community-safety/boundaries/current/yrp-municipalities.geojson,,data/raw/yrp/community-safety/boundaries/current/yrp-municipalities.geojson,,,yrp_reference_geography,,9,,,,,,,,,,,,,,,reference_geography_only,not_for_public_incident_map,,,
cat-0092,yrp,YRP CCTV Cameras Archive,geojson,archive_only_sensitive,,https://services8.arcgis.com/lYI034SQcOoxRCR7/arcgis/rest/services/YRP_CCTV_Cameras/FeatureServer/0,data/raw/yrp/community-safety,yrp-cctv-cameras-archive.geojson,data/raw/yrp/community-safety/_audit/2026-07-01/yrp-cctv-cameras-archive.geojson,,data/raw/yrp/community-safety/_audit/2026-07-01/yrp-cctv-cameras-archive.geojson,,,yrp_cctv_archive,,45,,,,,,,,,,,,,,,archive_only_do_not_load_as_incidents,not_for_public_incident_map,,Archive-only sensitive layer; not crime incident data.,
cat-0093,durham-drps,DRPS Open Data Hub,csv,public_incident_records_master_crime_map,https://open-data-drps.hub.arcgis.com/,https://services6.arcgis.com/2r8RrIqBhHAeyu7x/arcgis/rest/services/avl_odp_crimemap/FeatureServer/2,data/raw/durham-drps/community-safety,durham-drps-avl-odp-crimemap-master-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-avl-odp-crimemap-master-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-avl-odp-crimemap-master-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-avl-odp-crimemap-master-2026-07-01.geojson,,data/raw/durham-drps/community-safety/source-freeze-2026-07-01/reports,durham_master,crime_category,7819,2008-09-27,2026-06-16,occ_date,"lat,lon",7819,100.0,event_unique_id,event_unique_id,"municipality,division,neighbourhood",crime_category,"[{""name"":""Assault"",""count"":3103},{""name"":""Theft from MV"",""count"":1397},{""name"":""Vehicle Theft"",""count"":1164},{""name"":""Break & Enter"",""count"":1075},{""name"":""Impaired Operation"",""count"":752},{""name"":""Robbery"",""count"":267},{""name"":""Shooting & Firearm Discharge"",""count"":48},{""name"":""Homicide"",""count"":13}]",sexual assault;attempted murder;hate crime;arson;calls for service,exact_unknown,rolling_window,ready_with_caveats,source_disclaimer_required,ready_for_ingestion_planning,Canonical public crime map master; do not merge with standalone extracts.,
cat-0094,durham-drps,DRPS Open Data Hub,csv,public_incident_records_extract,https://open-data-drps.hub.arcgis.com/,,data/raw/durham-drps/community-safety,durham-drps-assault-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-assault-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-assault-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-assault-open-data-2026-07-01.geojson,,data/raw/durham-drps/community-safety/source-freeze-2026-07-01/reports,durham_standalone_extract,crime_category,16157,1982-01-01,2026-01-01,occurrence_year,"lat,lon",16157,100.0,event_unique_id,event_unique_id,"municipality,division,neighbourhood",crime_category,[],,exact_unknown,extract_only,ready_with_caveats,source_disclaimer_required,ready_for_ingestion_planning,Standalone extract; separate ID/window space from master.,
cat-0095,durham-drps,DRPS Open Data Hub,csv,public_incident_records_extract,https://open-data-drps.hub.arcgis.com/,,data/raw/durham-drps/community-safety,durham-drps-auto-theft-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-auto-theft-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-auto-theft-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-auto-theft-open-data-2026-07-01.geojson,,data/raw/durham-drps/community-safety/source-freeze-2026-07-01/reports,durham_standalone_extract,crime_category,6411,2014-01-01,2026-01-01,occurrence_year,"lat,lon",6411,100.0,event_unique_id,event_unique_id,"municipality,division,neighbourhood",crime_category,[],,exact_unknown,extract_only,ready_with_caveats,source_disclaimer_required,ready_for_ingestion_planning,,
cat-0096,durham-drps,DRPS Open Data Hub,csv,public_incident_records_extract,https://open-data-drps.hub.arcgis.com/,,data/raw/durham-drps/community-safety,durham-drps-bne-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-bne-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-bne-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-bne-open-data-2026-07-01.geojson,,data/raw/durham-drps/community-safety/source-freeze-2026-07-01/reports,durham_standalone_extract,crime_category,7315,2017-01-01,2026-01-01,occurrence_year,"lat,lon",7315,100.0,event_unique_id,event_unique_id,"municipality,division,neighbourhood",crime_category,[],,exact_unknown,extract_only,ready_with_caveats,source_disclaimer_required,ready_for_ingestion_planning,,
cat-0097,durham-drps,DRPS Open Data Hub,csv,public_incident_records_extract,https://open-data-drps.hub.arcgis.com/,,data/raw/durham-drps/community-safety,durham-drps-drug-violations-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-drug-violations-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-drug-violations-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-drug-violations-open-data-2026-07-01.geojson,,data/raw/durham-drps/community-safety/source-freeze-2026-07-01/reports,durham_standalone_extract,crime_category,3698,2020-01-01,2026-01-01,occurrence_year,"lat,lon",3698,100.0,event_unique_id,event_unique_id,"municipality,division,neighbourhood",crime_category,[],,exact_unknown,extract_only,ready_with_caveats,source_disclaimer_required,ready_for_ingestion_planning,,
cat-0098,durham-drps,DRPS Open Data Hub,csv,public_incident_records_extract,https://open-data-drps.hub.arcgis.com/,,data/raw/durham-drps/community-safety,durham-drps-firearm-shooting-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-firearm-shooting-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-firearm-shooting-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-firearm-shooting-open-data-2026-07-01.geojson,,data/raw/durham-drps/community-safety/source-freeze-2026-07-01/reports,durham_standalone_extract,crime_category,258,,,occ_date,"lat,lon",258,100.0,event_unique_id,event_unique_id,"municipality,division,neighbourhood",crime_category,[],,exact_unknown,extract_only,ready_with_caveats,source_disclaimer_required,ready_for_ingestion_planning,,
cat-0099,durham-drps,DRPS Open Data Hub,csv,public_incident_records_extract,https://open-data-drps.hub.arcgis.com/,,data/raw/durham-drps/community-safety,durham-drps-robbery-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-robbery-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-robbery-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-robbery-open-data-2026-07-01.geojson,,data/raw/durham-drps/community-safety/source-freeze-2026-07-01/reports,durham_standalone_extract,crime_category,1538,2020-01-01,2026-01-01,occurrence_year,"lat,lon",1538,100.0,event_unique_id,event_unique_id,"municipality,division,neighbourhood",crime_category,[],,exact_unknown,extract_only,ready_with_caveats,source_disclaimer_required,ready_for_ingestion_planning,,
cat-0100,durham-drps,DRPS Open Data Hub,csv,public_incident_records_extract,https://open-data-drps.hub.arcgis.com/,,data/raw/durham-drps/community-safety,durham-drps-theft-over-5000-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-theft-over-5000-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-theft-over-5000-open-data-2026-07-01.csv,data/raw/durham-drps/community-safety/incidents/2026-07-01/durham-drps-theft-over-5000-open-data-2026-07-01.geojson,,data/raw/durham-drps/community-safety/source-freeze-2026-07-01/reports,durham_standalone_extract,crime_category,1408,2009-01-01,2026-01-01,occurrence_year,"lat,lon",1408,100.0,event_unique_id,event_unique_id,"municipality,division,neighbourhood",crime_category,[],,exact_unknown,extract_only,ready_with_caveats,source_disclaimer_required,ready_for_ingestion_planning,,
